user_name,rating,user_base,review,date_of_experience,date_written,photos,party
JennyMfromSC,5,"Charleston, SC","Love Park is an expansive park in Downtown Philadelphia. There are many sights and monuments. You can spend all day or limit yourself to an hour or so. I would wear good walking shoes and bring a camera to have your picture made under the ""Love Park"" sign. There are many street vendors with drinks and snacks or feel free to bring your own bottle of water. My husband, Son and myself will be going back for sure on our next trip to Philadelphia!",Apr-11,18-Jul-11,0,
RUNINOut,5,"Washington DC, DC","After being pickpocketed in front of Macy's Philly and biking consolant but cheerful back to my car in Fairmount Park to grab more cash -- the only thing now left in my name, I stumbled upon something that totally brightened up my visit: couples of all types, lining up anxiously for a memorable shot in front of Robert Indiana's Love Sculpture.

There were couples, madly in love, young and old, friends, platonic and borderline lovers, some rekindling the fire after many decades, their progeny now with many children of their own, wanting to know how the fire sparked that caused Mom and Dad to become ONE.

The image of couples romancing, the line never stopping, made me truly realize that this was too good of an opportunity to let slip by. In life, you either just live by, or you LIVE in it. I chose the latter.

I set up a camera on the platform behind by the water fountain to film time lapse to prove once and for all that while I was there, the line never stopped -- truly all day and night -- there's always some couple approaching or waiting in line to get their picture-perfect shot. If not lovers, there are skaters -- one or the other, people tend to flock to and admire the simple but meaningful iconic image made famous by Robert Indiana.

To complete the all encompassing emotionally powerful scene, I decided to chat to couples and ask them two simple but sound questions: 1) Where did you guys meet; 2) What are your plans in the City of Brotherly Love.

The posted video is the results. I hope you find it enlightening as it was for me. Actually the story from one of the couples resoundingly melted my heart. My heart is still in tattered pieces as I mindfully revisit this scene.",,24-Nov-10,0,
mikerpics,3,delaware,"This is also known as JFK Plaza. For some reason, I was expecting more. Bigger letters.... something. Maybe it would have been better if the fountains were operating.",,29-Mar-07,1,
mc2wv0307,4,"Washington DC, DC",Not much to see but the fact that it's love park is enough. It takes a minute to get one of the other tourists to snap a pic of you but it's worth it.,Oct-11,07-Nov-11,0,
EdUrias,5,"San Jose, CA","It was great to learn the history of this park where sometimes you'll be treated to a musical concert depending on the time of year. The ""O"" is off centered; but the designer often times have said that the reason for the off centered ""O"" is because Love is not perfect!",Nov-11,06-Nov-11,0,
Db1105,1,"Wilmington, DE","If you are into walking through trash, urine, and feces. Walking around the homeless sleeping on benches, harrassment by beggars, and dodging angry youth on skateboards, then this is the place to go. The city really needs to clean this place up.",,28-Oct-11,0,
Alana H,4,"Scottsdale, AZ",This iconic side while on the smaller side is good to stop by and take a snapshot on your way to some of the bigger sites like the art museum.,,26-Sep-11,0,
adamsaintlouis,3,"Saint Louis, MO","Love Park (aka JFK Plaza) is fairly center in Philly and an attraction you'll likely walk past many of times. We walked from our hotel to the museums and past Love Park many times ourselves.

Although a nice photo (and famous one), the LOVE is actually very small. They make it seem large in photos, but really it’s not very large. It’s in a small park in the center of the street...yes there are homeless, but there are lots of people hanging around (including tons of tourists and weddings taking photos). Never felt unsafe.

I would not go out of my way to see this by any means....but if you are walking past it (as you likely will be) it’s worth stopping for a quick photo.",Sep-11,12-Sep-11,0,
Vparry,1,New York City,Homeless people constitute a hefty minority here and use the fountain for bathing. The water smells like sewage. Don't waste your time.,Aug-11,26-Aug-11,0,
traveler856,1,"Neptune, NJ","We visited this place with our 2 year daughter on Sunday eveniing. we liked the fountain and LOVE statue but felt very unsafe at the place..it was very dirty, many homeless people sleeping around..people standing to take your photo and asking for money...some people starring at kid...we felt very unsafe didn't even bothered to spend more time..",Jul-11,16-Aug-11,0,
